Titulo,Descripcion
Orgullo y prejuicio,Ocurre en Inglaterra a finales del siglo XVII donde cinco hermanas son criadas por su madre con el objetivo de que sus hijas encuentren el marido perfecto. Elizabeth (Lizzy) una de las chicas no aspiran a esto y piensa de manera muy diferente a la de su madre. Pero cuando el señor Darcy entra en su vida las cosas resultan diferentes. Las emociones los sentimientos y las sorpresas que nacen flechan el corazon de Lizzy a pesar de su orgullo. Aquellos que no hayan visto esta pelicula ¡les va a encantar! Te puede interesar leer sobre las normas de amor para una matrimonio feliz.
Diario de una pasion, Desde el principio de la pelicula te sentiras involucrado en la historia. Se inicia con un anciano (Noah) que lee algunas notas en un libro dedicado a Allie su amor eterno. Poco a poco le dice como se conocieron la tragedia de su separacion y su lucha por permanecer juntos contra viento y marea.  El amor es mas fuerte que cualquier otra cosa. Te puede interesar conocer las experiencias que si o si deberias tener con tu pareja antes de tener hijos.
Posdata Te amo, Holly y Gerry se conocen desde la universidad y siempre han sabido que sus almas eran gemelas. Ambos se complementan a la perfeccion pero algo inimaginable sucede: el protagonista muere. Pero deja a Holly una lista de cosas que hacer y le recuerda que el siempre estara con ella. A pesar del hecho de que la vida esta llena de giros -inesperados- siempre hay que seguir adelante. Te recomendamos leer sobre los consejos del Papa Francisco para un matrimonio feliz.
Bajo la misma estrella, Esta pelicula fue una de las mas aclamadas por el publico ya que esta impregnada de una emocion rara. Un simple “O.K.” que se convierte en un “de por vida” ¡es la magia de esta historia! Hazel Grace sufre de cancer de pulmon desde que tenia 16 años pero un dia se encuentra con el amor de su vida: Augustus Waters. Los dos se conocieron en un grupo de apoyo para los jovenes con cancer. Augustus dio un nuevo sentido a su vida.
Moulin Rouge,  Un clasico que no debes perderte. Un romance entre Christian artista bohemio y Satine una gran bailarina del Moulin Rouge. -Paris- Un lugar mitico mucho drama sueños musica en vivo y un ambiente real: estos son los ingredientes de esta magnifica pelicula. Te puede interesar leer sobre los tips para tener exito en la convivencia con tu pareja.
Sex & The City I, Esta es sin duda la pelicula mas glamourosa de nuestra lista. Carrie llego a Nueva York para cumplir el sueño de su vida: convertirse en una periodista de moda. Lleva una relacion de varios años con Mr. Big. Ambos deciden dar el paso y casarse pero la duda y la incertidumbre ganan a Mr. Big… Afortunadamente ¡todo lo que empieza bien acaba bien ! Te puede interesar leer sobre los pueblos mas lindos de Colombia para visitar en pareja.
Una cuestion de tiempo,Esta es la historia de Tim Lake un joven que tiene el poder de viajar en el tiempo a donde quiera. Para hacer que sus deseos se hagan realidad simplemente tiene que ir a un lugar oscuro. Asi conoce a Maria. Pero en un minuto todo desaparece. el tendra que ajustar su pasado para un futuro de paz al lado de la mujer que ama.
Titanic,  Otro clasico que hemos visto ¡por lo menos 10 veces! Esta es la pelicula que uno nunca se cansa de ver. Jack y Rose con solo cruzar sus miradas dentro del enorme barco saben que sienten el mismo sincero apasionado y romantico amor. Una pelicula iconica en el mundo del amor donde las diferencias sociales no importan cuando este sentimiento es autentico.
Un reino bajo la luna, Sucede en los años sesenta dos amigos que se conocen en la juventud y que planean huir juntos. Ambos tenian la misma vision del amor. Relaciones antiguas resurgen secretos y resentimientos entre los personajes de las dos familias aparecen. Presenciaremos un romance verdaderamente unico.
Yo antes de ti, Una profunda divertida y dramatica historia de amor entre una ingenua y dicharachera jove Luoisa que en su busqueda de empleo llega a la casa de un apuesto y adinerado joven Will quien tras sufrir un aparatoso accidente termina tetraplejico. Debido a esto cae en una profunda depresion y Louisa sera la encargada de cuidarlo y atenderlo tratando de mostrarle el lado positivo de la vida. Su determinacion ingenuidad e incluso torpeza permite que surjan chispazos de amor entre los dos.
Dulce noviembre, Es una historia de amor entre dos mundos dos mundos que se encuentran. el empresario exitoso de la publicidad mientras que ella una chica que ve la vida de otra manera. Estas dos personas se encuentran en el examen para obtener la licencia de conduccion. el decide copiarlo pero el maestro pensando que era ella la suspende. La mujer quiere saber donde vive y decide ofrecerle pasar un mes juntos.
Querido John, John Tyree un soldado de las Fuerzas Especiales va a visitar a su padre durante su periodo de licencia. Savannah Curtis es un estudiante en la universidad. Ambos asisten a una fiesta en la playa y la atraccion es tal que deciden vivir dos semanas completas de amor pasion y sentimientos. Despues de estas dos semanas John tiene que volver a las Fuerzas Especiales y Savannah a la Universidad. Prometen escribirse y continuar su historia de amor a distancia.
Un amor para recordar, Esta es la historia del chico malo que se enamora de una buena chica tan perfecta como que esconde un oscuro secreto. Un clasico que uno no se cansa de ver y que siempre despierta mucha emocion.
La casa del lago, En 2006 la Dra. Kate Forster deja la casa que ha habia alquilado junto al lago para trasladarse a nueva ciudad. Al marcharse deja una nota en el buzon para que el nuevo inquilino le remita las cartas a su nueva direccion y ademas le advierte de que las huellas de perro que hay en la entrada ya estaban alli cuando ella llego. El arquitecto Alex Wyler llega a la casa del lago y encuentra la carta que Kate habia dejado en el buzon. Al leerla Alex se sorprende ya que la casa esta abandonada y no hay huellas de perro en la entrada.
Cartas a Julieta, Sophie es una joven trabajadora estadounidense de una revista de Nueva York. Planea un viaje a Verona con su novio Victor quien esta a punto de abrir su restaurante italiano en Manhattan. Sophie disfruta de su estancia en Verona y descubre la casa de Julieta donde cientos de jovenes vienen a pedir ayuda y consejos sobre el amor. Alli Sophie se encuentra con una vieja carta de los años 50 y decide que tiene que responderle a esa persona. En el camino se encontro con la autora de la carta y su nieto.
Cuando te encuentre, Logan Thibault un sargento de la marina norteamericana regresa a casa despues de estar en Irak para encontrar a una mujer que no conoce de quien encuentra una foto enterrada. Una vez que la encuentra decide trabajar en la residencia canina de la familia. Inicialmente se produce una desconfianza invencible pero progresivamente se desarrolla un romance entre ellos: ¡Estan destinados a estar juntos y eso es todo.
Recuerdame , Tyler es un chico rebelde que vive en Nueva York y tiene una relacion desafortunada con su padre. Se produce un cambio cuando conoce a Ally. Tyler creyo que era una historia sin futuro pero la alegria y la forma de ser lo termina cautivando.
Llamame por tu nombre,La pelicula narra la historia de dos jovenes. Un chico italoestadounidense muy inquieto de 17 años Elio quien vive con sus padres en Italia y un estudiante Oliver que llega a casa como practicante de su padre docente de cultura grecorromana. En medio de hermosos parajes en la villa se desarrolla esta historia sobre el primer amor adolescente donde las miradas esquivas y las reacciones inesperadas estan servidas en la vida de estos dos personajes.
El secreto de sus ojos, La pelicula cuenta la historia de dos jovenes que empiezan una relacion telepatica. Con el tiempo y a traves de todos los momentos que comparten llegan a construir una relacion de amor que les traera grandes sorpresas. Grandes dialogos escenarios increibles: ¡Te encantara esta pelicula!
Año bisiesto, Esta chica esta deseando que su novio le pida matrimonio. Al ver que esto no va a suceder ella decide ir a Dublin para pedir su mano un 29 de febrero. Pero las cosas se complican y la aventura se convierte en una historia de amor. Te puede interesar leer sobre los mejores restaurantes para pedir matrimonio en Barranquilla.
Votos de amor, Esta historia esta basada en hechos reales y cuenta la historia de una pareja que despues de casarse tienen un grave accidente automovilistico. La joven interpretada por Rachel Mc. Adams cae en coma y finalmente despierta sin memoria. el en dificultades hace todo para ganar de nuevo a su esposa.
Mas alla del cielo, Charlie St. Cloud es un experto y apasionado del buceo. Obtuvo una beca para estudiar lejos de su pueblo natal. Pero para el todo termina cuando una tragedia acontece en su familia. Pronto Tess una vieja amiga vuelve a encontrar a Charlie. Cinco años antes habian intercambiado una promesa de amor pero Charlie no sabe si va a cumplir esta promesa o si va a salir en busca de un nuevo amor.
Perdona si te llamo amor, Esta pelicula italiana es fresca y tierna. Alex es un publicista encantador de casi cuarenta años y Nikki una joven de 17 años llena de sueños e ideales. Se reunen en una esquina y desde ese momento el mundo de Alex toma un nuevo giro. Una pelicula que nos muestra la belleza del amor a pesar de la diferencia de edad.
Siempre el mismo dia, Emma y Dexter se conocen el dia de la graduacion de la Universidad. Ella sueña con un mundo mejor y el con cambiar el mundo con una sala de entretenimiento. Veinte años mas tarde se encuentran y se dan cuenta que estan enamorados. Ellos deciden intentar una historia juntos.
Casese quien pueda, Ana esta a punto de casarse cuando ella descubre que su prometido la engaña con su prima. Daniela su hermana siempre ha estado enamorada de su mejor amigo. Ambos tienen ideales distintos pero su objetivo es el mismo: Encontrar el amor. Te recomendamos leer sobre como organizar tu boda en 12 meses: la guia definitiva.
500 dias con ella, Tom es un chico que cree que el amor esta predestinado a suceder magicamente. Summer piensa exactamente lo contrario. Si bien todo parece unirlos pero oponerse al mismo tiempo con el tiempo se dan cuenta que tienen muchos puntos en comun. Una historia mas que emocionante.
10 cosas que odio de ti, Bianca es la chica popular con quien todo el mundo quiere salir. Kat su hermana mayor es justo lo contrario. Cameron se enamora de Bianca pero las cosas se complican porque Bianca solo puede salir con el cuando Kat tambien lo haga.Para tener mayor informacion sobre los proximos estrenos de mas peliculas de amor y romance te recomendamos visitar la pagina oficial de Cine Colombia. Y regresando un poco a la realidad te recomendamos que sepas porque casarse es mejor que irse a vivir juntos o las practicas cotidianas para tener un matrimonio feliz.
